horarioData,cpuUsoFreq,cpuMaxFreq,cpuPorcUso,ramTotal,ramUso,ramPorcUso,dicosTotal,discoUso,discoPorcUso
26-02-2026 22:15:23,2501.0,2501.0,36.3,6129479680,5378551808,87.7,239467159552,212460724224,88.7
26-02-2026 22:15:26,2501.0,2501.0,41.2,6129479680,5374791680,87.7,239467159552,212460724224,88.7
26-02-2026 22:15:29,2501.0,2501.0,76.7,6129479680,5362274304,87.5,239467159552,212460724224,88.7
26-02-2026 22:15:32,2501.0,2501.0,68.6,6129479680,5380624384,87.8,239467159552,212460724224,88.7
26-02-2026 22:15:35,2501.0,2501.0,60.3,6129479680,5368061952,87.6,239467159552,212460658688,88.7
26-02-2026 22:15:44,2501.0,2501.0,72.5,6129479680,5248970752,85.6,239467159552,212460662784,88.7
26-02-2026 22:15:56,2501.0,2501.0,26.5,6129479680,5220384768,85.2,239467159552,212460789760,88.7
26-02-2026 22:16:07,2501.0,2501.0,52.3,6129479680,5228761088,85.3,239467159552,212460855296,88.7
26-02-2026 22:16:31,2501.0,2501.0,24.2,6129479680,5208764416,85.0,239467159552,212422672384,88.7
26-02-2026 22:16:42,2501.0,2501.0,33.2,6129479680,5134680064,83.8,239467159552,212422889472,88.7
